Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
The Elephant Bowl Resto Cafe,"Continental, Italian, Fast Food, Desserts",500," HBR Layout, Bangalore",4.1,13.025494,77.629682
Tapri By The Corner,"North Indian, Chinese",250," Koramangala 5th Block, Bangalore",4.1,12.93551934,77.62123927
Beijing Bites,"Chinese, Thai, Seafood",800," Koramangala 5th Block, Bangalore",4.1,12.93360154,77.62183204
Atlas World Cafe - Vividus Hotel,"Continental, North Indian, South Indian, Italian, Salad, Kebab, Beverages, Desserts",1700," Race Course Road, Bangalore",4.1,12.98466362,77.57847045
Sri Venkateshwara Sweetmeat Stall,"Mithai, Street Food, North Indian",400," Majestic, Bangalore",4.1,12.97297097,77.57480185
Arirang Korean Restaurant,Korean,1400," Kammanahalli, Bangalore",4.1,13.01965924,77.63717294
Palette - Taj Yeshwantpur,"Mediterranean, South Indian, North Indian, Chinese",1800," Taj Yeshwantpur, Bangalore",4.1,13.02883813,77.54041929
The Potbelly Divine,"Bihari, Seafood, North Indian, Beverages",1900," Indiranagar, Bangalore",4.1,12.97002,77.638715
BLOW,"Cafe, Continental, American, Fast Food, Burger, Desserts, Beverages",750," Church Street, Bangalore",4.1,12.97566606,77.60197967
Taste Of Tibet,"Tibetan, Chinese, Momos",450," Brigade Road, Bangalore",4.1,12.97345941,77.60694142
Kritunga Restaurant,"Andhra, Biryani, North Indian",800," Koramangala 5th Block, Bangalore",4.1,12.93447303,77.61613972
Brownie Heaven,"Desserts, Beverages",300," Indiranagar, Bangalore",4.1,12.96252948,77.64187954
Terra Bites,"Cafe, Italian, Continental",1150," Koramangala 4th Block, Bangalore",4.1,12.9342188,77.62594789
Siddique Kabab Centre,"Mughlai, Chinese, North Indian, Rolls",550," Frazer Town, Bangalore",4.1,12.99342173,77.60831539
Mahalaxmi Tiffin Room,South Indian,100," Basavanagudi, Bangalore",4.1,12.94702163,77.57156342
Uttsav Donne Biryani Mane,"Biryani, South Indian",400," Nagarbhavi, Bangalore",4.1,12.96444249,77.50479184
Rooftop Cafe,"Cafe, Fast Food, Beverages",350," Jayanagar, Bangalore",4.1,12.92905089,77.5860792
Sendhoor Coffee,"South Indian, Beverages",150," Indiranagar, Bangalore",4.1,12.9705699,77.63340846
HVR Veg,South Indian,150," Seshadripuram, Bangalore",4.1,12.99385394,77.57749077
Zaatar,"BBQ, Arabian, Salad, Chinese, North Indian, Mughlai, Desserts, Beverages",1000," KR Puram, Bangalore",4.1,12.99528419,77.6669753
Bamboo Restaurant,"North Indian, Chinese, Biryani, Kerala, Ice Cream, Beverages",700," Kalyan Nagar, Bangalore",4.1,13.02295029,77.63968147
Waffle Magic,"Fast Food, Desserts, Beverages",500," Indiranagar, Bangalore",4.1,12.9694094,77.6478072
Pattikattan Biriyani,"Chettinad, South Indian",300," Electronic City, Bangalore",4.1,12.848915,77.670378
Barjari Oota,South Indian,350," Basavanagudi, Bangalore",4.1,12.94484381,77.57220279
Cafe Shuffle,"Cafe, Continental, Chinese, Fast Food, Beverages",550," Banashankari, Bangalore",4.1,12.92589258,77.56476838
Donne Biryani Mandi,"Biryani, South Indian",300," BTM, Bangalore",4.1,12.923189,77.61646
Just Fresh Point,"Street Food, Fast Food, Sandwich, Desserts, Mithai",300," Electronic City, Bangalore",4.1,12.8412487,77.64761612
Sai Shakti,"North Indian, Chinese, Beverages",300," Malleshwaram, Bangalore",4.1,12.99915249,77.56807689
Vattika,"South Indian, North Indian, Chinese, Maharashtrian, Beverages, Desserts, Fast Food",650," Mysore Road, Bangalore",4.1,12.82442111,77.41161861
Fishing Boat - Hotel Goyal Residency,"North Indian, Biryani, Chinese, Kebab, Mangalorean",900," Electronic City, Bangalore",4.1,12.84220224,77.66971953
Peking Orient,"Asian, Chinese, Cantonese, Seafood, Desserts, Beverages",800," Kammanahalli, Bangalore",4.1,13.01643184,77.63468686
Chopstick World,"Chinese, North Indian, Thai, Mughlai, Fast Food, Seafood, Rolls",800," Basaveshwara Nagar, Bangalore",4.1,12.98573488,77.54242022
Dhaba Social,"North Indian, Chinese, Seafood, Mughlai",700," Brookefield, Bangalore",4.1,12.95585588,77.71684527
Dhaba Social,"North Indian, Chinese, Seafood, Mughlai",700," Brookefield, Bangalore",4.1,12.95585588,77.71684527
Polar Bear,"Ice Cream, Desserts, Beverages",350," Koramangala 6th Block, Bangalore",4.1,12.93696006,77.62006983
Funky Punjab,"North Indian, Chinese, Mughlai",500," JP Nagar, Bangalore",4.1,12.90027333,77.58576069
Frozen Bottle,"Beverages, Desserts, Ice Cream",400," Electronic City, Bangalore",4.1,12.84871347,77.65765864
The Krishna Grand,"North Indian, South Indian, Chinese, Fast Food, Juices, Street Food",750," Banashankari, Bangalore",4.1,12.92151565,77.57111382
The Purple Pan,"North Indian, Chinese",600," Rajajinagar, Bangalore",4.1,12.99872323,77.55691487
New Punjabi Food Corner,"North Indian, Chinese",600," Electronic City, Bangalore",4.1,12.83908631,77.65808579
Chaat Street,"Street Food, Beverages, North Indian",200," New BEL Road, Bangalore",4.1,13.039094,77.564143
Delicacy,"Chinese, Thai",500," Kalyan Nagar, Bangalore",4.1,13.02595319,77.64066517
